道具ID,中文名,舊合成表,俄文名,英文名,品質,來源,可靠度,備註
I0AV,太陽之書,太阳之书,Книга солнца,Book of the Sun,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I04F,女巫帽,女巫帽,Ведьмина шляпа,Witch's Hat,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I01K,守衛之斧,,Топор стража,Guardian's Axe,特殊（lv.2）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I095,守衛徽章,,Медальон стража,Guardian's Medallion,特殊（lv.2）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I08G,強化之靴,,Укрепленные сапоги,Reinforced Boots,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I00W,戰弓,,Боевой лук,War Bow,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I074,敏捷吊墜,敏捷吊坠,Подвеска ловкости,Pendant of Agility,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I075,智力吊墜,智力吊坠,Подвеска разума,Pendant of Intellect,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I08W,檢察官的斗篷,检察官的斗篷,Мантия инквизитора,Inquisitor's Mantle,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I05C,玄鐵手套,玄铁手套,Железная рукавица,Iron Gauntlet,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I01S,王室徽記,,Королевский жетон,Royal Token,特殊（lv.2）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I015,短刃,,Короткий клинок,Short Blade,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I01Q,能量符文,,Руна энергии,Rune of Energy,特殊（lv.2）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I05U,血污,血污,Орудие убийства,Murder Weapon,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I04C,迷霧之矛,迷雾之矛,Копье тумана,Mist Spear,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I08U,遊俠之弓,,Лук следопыта,Ranger's Bow,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I01V,邪教徒披風,,Накидка культиста,Cultist's Cloak,特殊（lv.2）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I072,重盾,重盾,Тяжелый щит,Heavy Shield,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I09O,鍍金項鍊,,Позолоченное ожерелье,Gilded Necklace,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I06Z,鏡面項鍊,,Зеркальное ожерелье,Mirror Necklace,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I00X,陳舊甲殼,陈旧甲壳,Старый панцирь,Old Carapace,特殊（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I097,風暴侍僧長袍,,Одеяние адепта Бури,Storm Adept's Robe,特殊（lv.2）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I08Z,魔化藥瓶,,Бутыль чаролития,Flask of Sorcery,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I084,魔法師之帽,,Шляпа волшебника,Wizard's Hat,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I01L,魔法漿果,,Магические ягоды,Magic Berries,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I04W,鷹之匕首,仪式圣杯,Кинжал ястреба,Hawk Dagger,特殊（lv.2）,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「仪式圣杯」，這件是另一件
I00L,黑暗匕首,,Темный кинжал,Dark Dagger,特殊（lv.2）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I050,黑暗精華,,Темная эссенция,Dark Essence,特殊（lv.2）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I05I,黑魔法師披風,,Накидка темного мага,Dark Mage's Cloak,特殊（lv.2）,C 我從俄文翻譯,低 — 沒有官方依據,
I05G,位移匕首,,Кинжал сдвига,Dagger of Shifting,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I04B,守衛之劍,,Меч стража,Guardian's Sword,特殊（lv.3）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I04A,守衛之盾,,Щит стража,Guardian's Shield,特殊（lv.3）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I00R,寒冷之刃,,Холодное лезвие,Cold Blade,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I01C,尖刺手套,,Шипованные перчатки,Spiked Gloves,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I05R,屍毒,,Трупный яд,Corpse Venom,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I003,戰鬥砍刀,,Боевое мачете,Combat Machete,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I07I,治療藥劑,,Целебная настойка,Healing Tincture,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I014,法力之石,,Камень маны,Mana Stone,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I06W,法力催化劑,法力催化剂,Манакатализатор,Mana Catalyst,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I01O,法力鋼,,Манасталь,Manasteel,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I04G,熔岩球,熔岩球,Магмовая сфера,Magma Sphere,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07F,獵魔者護腕,,Браслет охотника на чародеев,Witch Hunter's Bracer,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I07S,生命護符,,Амулет жизни,Amulet of Life,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I016,瘟疫之斧,,Топор чумы,Plague Axe,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I01B,盜匪背包,,Сумка бандита,Bandit's Bag,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I000,破碎封印,,Сломанная печать,Broken Seal,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I07H,碎岩者,,Гранитолом,Granite Breaker,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
rag1,紫水晶戒指,,Кольцо с аметистом,Amethyst Ring,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I07J,萬用戒指,,Универсальное кольцо,Universal Ring,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I085,血之護腕,迷雾之矛,Наручи крови,Bracers of Blood,特殊（lv.3）,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「迷雾之矛」，這件是另一件
I05H,角鬥士頭盔,角斗士头盔,Шлем гладиатора,Gladiator's Helm,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I002,遠古典籍,,Древний трактат,Ancient Treatise,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I04E,鍍金匕首,镀金匕首,Позолоченный кинжал,Gilded Dagger,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I06Y,鐵製小圓盾,,Железный баклер,Iron Buckler,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I07G,附魔之爪,,Зачарованные когти,Enchanted Claws,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I086,零時迷子,零时迷子,Окалиновый конструкт,Scale Construct,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I00N,雷霆環,,Грозовой обруч,Storm Circlet,特殊（lv.3）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I099,風暴侍僧手套,,Перчатки адепта Бури,Storm Adept's Gloves,特殊（lv.3）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
sora,風暴護身符,风暴护身符,Амулет грозы,Storm Amulet,特殊（lv.3）＋風暴,A 沿用舊合成表,高 — 玩家實際用的名字,
I0AW,騎士之劍,,Рыцарский меч,Knight's Sword,特殊（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
I04X,骨甲,骨甲,Костяная броня,Bone Armor,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I042,鹹魚傑作,咸鱼杰作,Геодомон,Geodemon,特殊（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I043,黑暗之靴,,Темные сапоги,Dark Boots,特殊（lv.3）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I046,黑暗鎧甲,,Темный доспех,Dark Armor,特殊（lv.3）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I077,先鋒之凱鎧,先锋之凯铠,Доспехи авангарда,Vanguard Armor,特殊（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
I052,吞噬萬物,,Всепоглощающее,All-Devouring,特殊（lv.4）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I089,吸收器,,Поглотитель,Absorber,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I092,失重毒刺,失重毒刺,Невесомое жало,Weightless Sting,特殊（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07B,守衛之弩,,Арбалет стража,Guardian's Crossbow,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I06R,守護護符,,Оберегающий амулет,Warding Amulet,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I006,寒冰長矛,,Ледяное копье,Frost Spear,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I087,導師手套,,Перчатки наставника,Mentor's Gloves,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I09G,幸運馬蹄鐵,,Счастливая подкова,Lucky Horseshoe,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I079,收割項鍊,,Ожерелье жатвы,Necklace of Harvest,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I08V,構造之球,构造之球,Конструкт-сфера,Construct Sphere,特殊（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
I078,洞察之戒,,Кольцо проницательности,Ring of Insight,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I01A,淬鍊鎖甲,,Закаленная кольчуга,Tempered Chainmail,特殊（lv.4）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I08H,白盾,,Белый щит,White Shield,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I053,知善惡果,知善恶果,Запретный плод,Forbidden Fruit,特殊（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07R,精靈之刃,,Эльфийский клинок,Elven Blade,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I009,納瓦爾,,Нагваль,Nagual,特殊（lv.4）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I0AJ,英勇之錘,,Молот Доблести,Valor Hammer,特殊（lv.4）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I049,英勇鎧甲,,Доспех Доблести,Valor Armor,特殊（lv.4）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I01M,裝甲護手,,Бронерукавица,Armored Gauntlet,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I07C,詛咒法杖,,Посох проклятий,Staff of Curses,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I08I,詛咒者之弩,,Арбалет проклинателя,Curser's Crossbow,特殊（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
I07N,雷霆之靴,,Грозовые сапоги,Storm Boots,特殊（lv.4）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I0AL,風暴之錘,,Молот Шторма,Storm Hammer,特殊（lv.4）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I098,風暴冠冕,,Венец Шторма,Storm Crown,特殊（lv.4）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I044,黑暗手套,,Темные перчатки,Dark Gloves,特殊（lv.4）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I06S,黑曜石,刺客之刺,Обсидиан,Obsidian,特殊（lv.4）,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「刺客之刺」，這件是另一件
horl,執政官之帷,,Покров Архонта,Archon's Shroud,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
bfhr,守護巨龍,,Дракон-хранитель,Guardian Dragon,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
shhn,惡魔鎧甲,,Доспех демона,Demon Armor,特殊（lv.5++）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
oslo,林后之冠,,Корона Королевы Рощи,Crown of the Grove Queen,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
sor6,死亡華爾滋,,Вальс смерти,Waltz of Death,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
ccmd,永恆玫瑰,,Роза Вечности,Rose of Eternity,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
shtm,海克斯科技,,Хекстек,Hextech,特殊（lv.5++）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
cosl,王者之劍,,Экскалибур,Excalibur,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
gldo,神聖手環,,Божественные браслеты,Divine Bracers,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
tmmt,耶利哥,,Иерихон,Jericho,特殊（lv.5++）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
hbth,遺忘之矛,,Копье Забвения,Spear of Oblivion,特殊（lv.5++）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I00Y,靈魂護符,,Амулет Души,Amulet of Souls,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
arsc,靜謐,,Штиль,Stillness,特殊（lv.5++）,C 我從俄文翻譯,低 — 沒有官方依據,
I0AC,三位一體,,Триада,Triad,特殊（lv.5+）＋英勇＋深淵＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I0AX,不可名狀之悔,,Непостижимое сожаление,Unfathomable Regret,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A9,傲羅斗篷,,Мантия мракоборца,Auror's Mantle,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0B0,叛徒鎧甲,,Доспех ренегата,Renegade's Armor,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0AZ,吸收加速器,,Поглощающий акселератор,Absorbing Accelerator,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I081,地獄之盾,,Адский щит,Infernal Shield,特殊（lv.5+）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I00A,均衡者,,Уравнитель,Equalizer,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A7,埃洛波達之羽,,Перо Аэллоподы,Aellopoda's Feather,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A8,守護者護肩,,Наплечники хранителя,Keeper's Pauldrons,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I069,弒神者,,Богоубийца,Godslayer,特殊（lv.5+）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I070,惡魔步伐,,Поступь демона,Demon's Stride,特殊（lv.5+）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
dtsb,戈姆刺針,,Гом Джаббар,Gom Jabbar,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I00V,拆解者,,Демолитрон,Demolitron,特殊（lv.5+）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I00B,洪流項鍊,,Ожерелье потока,Necklace of Flow,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I06V,深淵之眼,,Око Бездны,Eye of the Abyss,特殊（lv.5+）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I07E,深淵收割者,,Жнец Бездны,Reaper of the Abyss,特殊（lv.5+）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I0AA,王室火槍,,Королевское ружье,Royal Musket,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
tbar,生機之心,,Живительное сердце,Vivifying Heart,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A5,窺伺者,,Соглядатай,Watcher,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I01P,耶夢加得之戒,,Кольцо Ёрмунганда,Ring of Jormungandr,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I059,英勇拳套,,Цестус Доблести,Valor Cestus,特殊（lv.5+）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I048,英勇頭盔,,Шлем Доблести,Valor Helm,特殊（lv.5+）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I0AY,邊境守衛,,Страж рубежа,Border Warden,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A4,鎖心之戒,,Кольцо окклюмента,Ring of Occlumency,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I0A6,隱形斗篷,,Плащ-невидимка,Cloak of Invisibility,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I096,雷霆之主,,Громовержец,Thunderer,特殊（lv.5+）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I09B,風暴之盾,,Щит Шторма,Storm Shield,特殊（lv.5+）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I0AB,黃金鎧甲,,Золотые доспехи,Golden Armor,特殊（lv.5+）,C 我從俄文翻譯,低 — 沒有官方依據,
I088,不朽法冠,,Нетленная митра,Imperishable Mitre,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I07Q,九頭蛇之尾,,"""Хвост гидры""",Hydra's Tail,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I01H,占星者之弓,,Лук звездочёта,Stargazer's Bow,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I06U,吸血骨鈴,吸血骨铃,Костяные колокольчики,Bone Chimes,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I008,均衡之印,均衡之印,Эмблема равновесия,Emblem of Balance,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07D,夙願,夙愿,Прощальное желание,Parting Wish,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07P,夜之戒,,Кольцо Ночи,Ring of Night,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I08J,大師手套,,Перчатки мастера,Master's Gloves,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I091,天使頭盔,,Шлем ангела,Angel's Helm,特殊（lv.5）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I076,幻影手套,,Перчатки фантома,Phantom Gloves,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I017,幽魂匕首,,Призрачный кинжал,Spectral Dagger,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I08K,怒火戰斧,怒火战斧,Секира ярости,Axe of Fury,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I07A,救贖腰帶,,Пояс спасения,Belt of Salvation,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I007,最後通牒,最后通牒,Ультима,Ultima,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I09W,死亡護符,,Амулет смерти,Amulet of Death,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I06X,水晶法杖,水晶法杖,Кристальный посох,Crystal Staff,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I047,深淵之劍,,Меч Бездны,Sword of the Abyss,特殊（lv.5）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
I07M,火山之戒,,Вулканическое кольцо,Volcanic Ring,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I06A,熾熱核心,,Раскаленное ядро,Molten Core,特殊（lv.5）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I06B,狂信者鎧甲,,Доспех изувера,Zealot's Armor,特殊（lv.5）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I06C,狂信者頭盔,,Шлем изувера,Zealot's Helm,特殊（lv.5）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I004,祕密寶盒,,Тайная шкатулка,Secret Casket,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I071,祭司長袍,,Одеяние иерофанта,Hierophant's Robe,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I068,苦難面具,,Маска страданий,Mask of Suffering,特殊（lv.5）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I00M,英勇腰帶,,Пояс Доблести,Valor Belt,特殊（lv.5）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I0AK,英勇警鐘,,Набат Доблести,Valor Tocsin,特殊（lv.5）＋英勇,C 我從俄文翻譯,低 — 沒有官方依據,
I0AN,蔑視者之戒,,Кольцо презирателя,Ring of the Scornful,特殊（lv.5）,C 我從俄文翻譯,低 — 沒有官方依據,
I067,薩弗拉斯,,Сульфурас,Sulfuras,特殊（lv.5）＋地獄,C 我從俄文翻譯,低 — 沒有官方依據,
I07K,防禦堡壘,防御堡垒,Бастион,Bastion,特殊（lv.5）,A 沿用舊合成表,高 — 玩家實際用的名字,
I0AM,雷霆之刃,,Грозовой клинок,Storm Blade,特殊（lv.5）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I09A,風暴之靴,,Сапоги Шторма,Storm Boots (Greater),特殊（lv.5）＋風暴,C 我從俄文翻譯,低 — 沒有官方依據,
I045,黑色頭盔,,Черный шлем,Black Helm,特殊（lv.5）＋深淵,C 我從俄文翻譯,低 — 沒有官方依據,
rwiz,咒術師項鍊,,Ожерелье заклинателя,Spellcaster's Necklace,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
rde2,完美力量戒指,,Безупречное кольцо силы,Flawless Ring of Strength,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
belv,完美敏捷戒指,,Безупречное кольцо ловкости,Flawless Ring of Agility,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
rde1,完美智力戒指,,Безупречное кольцо разума,Flawless Ring of Intellect,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
rin1,祕銀短刀,,Мифриловые ножи,Mithril Knives,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
ciri,老兵之盾,,Щит ветерана,Veteran's Shield,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
clfm,術士之褲,,Штаны чародея,Sorcerer's Trousers,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
mcou,衛兵之靴,,Сапоги гвардейца,Guardsman's Boots,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
rde3,衛兵戰斧,,Боевой топор гвардейца,Guardsman's Battle Axe,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
sbch,衛兵手套,,Перчатки гвардейца,Guardsman's Gloves,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
rlif,衛兵鎧甲,,Доспех гвардейца,Guardsman's Armor,獨特,C 我從俄文翻譯,低 — 沒有官方依據,
ajen,分離者,分离者,Секутор,Secutor,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
shar,十字軍之刃,十字军之刃,Клинок крестоносца,Crusader's Blade,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
oven,大奶酪,大奶酪,Головка сыра,Wheel of Cheese,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
I00S,寒冰之球,,Сфера льда,Sphere of Ice,神器（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
I09X,腐化之球,,Сфера разложения,Sphere of Decay,神器（lv.1）,C 我從俄文翻譯,低 — 沒有官方依據,
gsou,邪教戒指,邪教戒指,Кольцо культиста,Cultist's Ring,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
ratf,黑暗容器,黑暗容器,Чёрный сосуд,Black Vessel,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
afac,黑鷹吊墜,黑鹰吊坠,Подвеска ястреба,Hawk Pendant,神器（lv.1）,A 沿用舊合成表,高 — 玩家實際用的名字,
iwbr,封閉心智頭盔,封闭心智头盔,Шлем закрытого разума,Helm of the Closed Mind,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
rre2,惡魔果實,恶魔果实,Чужеземный фрукт,Alien Fruit,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
ckng,朱砂護符,朱砂护符,Амулет с киноварью,Cinnabar Amulet,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
rde4,歌寂神兵,歌寂神兵,Цвайхендер,Zweihander,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
shcw,矛與盾,矛与盾,Антиномия,Antinomy,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
asbl,諾伊斗篷,诺伊斗篷,Накидка Нойты,Noita's Cloak,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
sbok,黃道十二宮,黄道十二宫,Зодиак,Zodiac,神器（lv.2）,A 沿用舊合成表,高 — 玩家實際用的名字,
tfar,優雅吊墜,优雅吊坠,Изящная подвеска,Elegant Pendant,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
hval,判官,判官,Судья,Judge,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
kpin,大法師長袍,大法师长袍,Роба архимага,Archmage's Robe,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
desc,烈焰法杖,烈焰法杖,Скипетр пламени,Scepter of Flame,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
gemt,聖女之血,圣女之血,Кровь Девы,Maiden's Blood,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
I09Y,腐化之冠,,Корона разложения,Crown of Decay,神器（lv.3）,C 我從俄文翻譯,低 — 沒有官方依據,
ram4,超凡護符,超凡护符,Потусторонний амулет,Otherworldly Amulet,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
tkno,野獸之盾,野兽之盾,Щит Зверя,Shield of the Beast,神器（lv.3）,A 沿用舊合成表,高 — 玩家實際用的名字,
fgrd,大法師權杖,大法师权杖,Посох архимага,Archmage's Staff,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
tbak,帝王鎧甲,帝王铠甲,Доспехи Императора,Emperor's Armor,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
fgfh,復仇之手,复仇之手,Карающая длань,Punishing Hand,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
prvt,撕裂末日,撕裂末日,Эквилибриум,Equilibrium,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
ram3,永恆之夢,永恒之梦,Объятия вечного сна,Embrace of Eternal Sleep,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
grsl,災妄之星,灾妄之星,Вельвера,Velvera,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
lgdh,無限手套,,Перчатка Бесконечности,Infinity Gauntlet,神器（lv.4）,C 我從俄文翻譯,低 — 沒有官方依據,
ram2,生命之冠,生命之冠,Корона Жизни,Crown of Life,神器（lv.4）,A 沿用舊合成表,高 — 玩家實際用的名字,
